49,49,53,60,57,46,35,14,104,132,82,0,18,118,150,89,61,82,86,25,46,71,60,67,64,60,64,53,3,68,57,21,6,53,67,60,31,18,46,21
46,42,49,57,39,39,57,60,10,53,78,53,32,50,53,10,14,3,0,24,67,64,49,39,21,28,64,42,82,207,211,121,18,67,74,71,60,39,31,39
46,39,46,57,89,60,46,49,42,3,71,68,14,10,3,17,17,3,10,14,60,57,14,53,96,57,31,31,96,243,247,132,10,74,74,74,71,67,60,60
53,39,42,60,89,21,68,104,46,14,6,25,14,42,21,24,24,14,21,39,71,21,121,30,80,225,46,24,50,143,132,46,21,64,64,67,67,67,64,64
57,46,46,49,21,75,236,48,186,10,67,6,0,3,25,7,24,17,24,57,67,46,44,32,64,134,114,24,14,21,0,46,53,49,53,60,64,64,64,67
46,60,67,53,39,114,109,241,116,136,0,24,36,150,211,143,32,0,39,10,39,100,180,179,107,73,64,31,49,74,78,78,74,74,67,67,67,67,67,67
42,53,60,53,60,43,16,216,202,26,150,61,107,254,91,77,5,218,200,46,3,86,94,46,220,197,3,35,42,49,53,60,64,74,67,67,67,67,67,67
39,49,57,53,46,14,161,127,180,55,172,75,143,66,188,234,216,148,66,93,14,18,175,59,254,53,53,49,39,28,24,31,53,74,67,67,67,67,67,67
53,64,71,60,24,42,53,214,9,168,46,7,96,254,127,209,216,134,19,71,3,46,3,61,46,28,67,60,42,17,6,17,46,71,67,67,67,67,67,67
71,82,74,71,46,71,28,57,82,32,24,35,18,111,207,26,41,214,111,14,28,53,60,60,57,57,67,67,49,24,10,17,46,67,67,67,67,67,67,67
49,49,21,17,53,78,60,21,3,0,14,7,10,3,39,96,93,36,24,71,46,31,46,67,74,60,60,67,53,42,31,35,49,60,67,67,67,67,67,67
7,18,61,71,17,42,53,42,24,10,57,78,25,42,39,14,24,60,78,64,49,39,49,64,71,57,53,60,64,60,53,49,100,60,67,67,67,67,67,67
10,89,189,172,61,3,35,35,39,21,43,114,64,28,57,67,64,49,49,42,42,46,57,60,60,53,64,100,100,100,100,100,100,100,100,100,100,100,100,100
3,129,250,200,50,18,14,36,18,6,28,89,46,17,42,74,78,46,42,28,35,46,57,57,57,49,100,100,100,100,100,100,100,100,100,100,100,100,100,100
17,86,161,104,21,75,164,204,150,78,61,68,21,21,28,64,78,53,39,14,28,46,64,67,60,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
31,0,21,10,36,189,91,91,225,146,143,157,75,10,28,49,53,28,14,0,21,49,67,71,57,42,24,24,100,100,100,100,100,100,100,100,100,100,100,100
32,3,6,6,78,12,162,84,193,214,73,105,214,25,35,49,42,21,14,6,24,53,71,71,57,46,24,24,24,100,100,100,100,100,100,100,100,100,100,100
114,53,25,28,121,9,102,254,168,69,25,28,52,57,46,60,57,46,42,24,39,57,71,71,57,49,24,0,24,100,100,100,100,100,100,100,100,100,100,100
129,89,28,6,68,143,204,150,164,112,28,0,23,32,57,71,74,64,57,46,53,64,67,64,57,53,0,0,24,100,100,100,100,100,100,100,100,100,100,100
93,96,18,60,49,14,50,61,136,55,116,94,186,14,67,74,82,60,42,60,64,64,64,60,57,57,0,21,24,100,100,100,100,100,100,100,24,24,100,100
21,18,28,82,53,42,10,7,75,164,154,104,25,39,46,60,64,57,71,67,67,71,71,64,60,57,24,24,24,24,100,100,100,100,24,24,24,24,24,24
18,39,3,46,39,6,21,18,46,104,71,28,24,60,53,64,74,67,78,67,67,71,71,67,60,100,24,24,100,100,100,100,100,100,24,24,24,24,24,100
43,89,53,6,10,104,164,136,96,78,25,21,60,64,49,67,71,60,71,64,64,67,71,67,60,53,100,100,100,100,100,100,100,100,100,100,24,24,100,100
96,161,104,14,57,236,91,41,186,93,14,31,57,53,46,67,64,39,46,60,64,67,67,67,64,57,100,100,100,100,100,100,100,100,100,100,100,100,100,100
114,197,150,64,96,41,137,62,179,57,24,39,46,53,57,74,53,21,39,57,60,64,67,67,67,60,100,100,100,100,100,100,100,100,100,100,100,100,100,100
57,157,197,179,218,59,34,175,64,21,74,57,53,57,53,49,14,7,28,53,57,64,67,71,67,67,100,100,100,100,100,100,100,100,100,100,100,100,100,100
49,78,225,62,173,109,168,3,39,60,82,60,60,49,24,0,50,53,14,57,64,74,78,78,74,71,100,100,100,100,100,100,100,100,100,100,100,100,100,100
67,21,200,116,241,112,161,6,71,78,64,57,60,49,21,7,43,50,14,53,6,18,3,31,42,49,100,100,100,100,100,100,100,100,57,100,100,74,71,100
53,24,89,247,87,250,121,0,74,89,67,60,64,60,46,24,3,0,0,28,100,189,157,71,3,53,82,78,64,57,64,67,60,49,49,49,57,64,42,14
57,67,31,46,107,64,7,49,82,85,71,60,64,67,64,57,49,49,57,6,154,30,9,139,7,74,82,71,67,64,64,57,53,53,57,49,53,53,24,7
42,64,74,57,46,46,57,67,74,71,60,57,67,78,78,74,74,82,89,31,96,197,186,93,6,60,57,53,67,78,74,64,57,53,64,46,57,57,35,10
53,57,60,64,71,64,60,71,74,71,60,60,67,74,74,71,71,78,82,60,21,21,21,3,31,39,42,57,71,89,85,71,53,39,64,39,60,71,60,53
78,71,60,71,49,49,60,74,85,82,74,67,71,74,71,60,57,60,64,60,74,67,49,46,46,35,39,35,28,31,42,42,31,17,53,31,60,74,49,39
85,74,60,82,64,60,57,67,78,85,85,74,74,78,74,64,60,64,67,57,71,67,49,53,53,35,18,75,118,121,75,21,10,14,35,17,60,60,0,61
67,57,49,78,85,71,57,57,64,71,71,71,74,82,78,71,71,74,78,71,74,60,49,67,64,24,96,211,12,12,186,71,0,28,24,6,57,46,46,154
