23,52,14,14,34,49,14,14,14,50,45,47,34,22,20,10,6,13,17,24,20,15,10,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,28,34,25,38,14,125,125,14,14,14,14,49,25,20,14,13,20,24,28,22,14,9,8,12,16,21,21,0,0,0,0,0,0,0,0,0,0,0,0
37,27,26,26,50,103,14,123,14,14,120,14,14,35,18,14,16,22,24,26,21,13,8,8,12,15,21,21,21,0,0,0,0,0,0,0,0,0,0,0
14,43,35,36,14,102,14,14,14,119,178,179,114,44,15,11,12,15,16,21,17,12,8,8,12,14,21,28,21,0,0,0,0,0,0,0,0,0,0,0
14,53,36,26,47,14,14,14,14,14,179,171,106,37,12,8,7,10,12,15,13,10,9,10,12,13,28,28,21,0,0,0,0,0,0,0,0,0,0,0
54,55,33,11,14,24,42,45,14,115,14,126,14,24,9,7,5,11,16,11,10,10,10,11,12,12,28,34,21,0,0,0,0,0,0,0,21,21,0,0
34,33,20,5,13,16,25,30,49,14,14,14,35,17,15,11,10,12,8,9,9,8,8,10,11,12,21,21,21,21,0,0,0,0,21,21,21,21,21,21
33,39,29,15,17,26,34,33,41,14,48,36,21,11,13,10,7,9,6,9,9,8,8,9,11,0,21,21,0,0,0,0,0,0,21,21,21,21,21,0
40,53,43,26,31,14,14,14,55,50,35,22,11,10,14,9,8,11,8,10,10,9,8,9,11,13,0,0,0,0,0,0,0,0,0,0,21,21,0,0
55,14,14,32,44,14,125,111,14,54,32,19,12,13,15,9,10,17,15,11,10,9,9,9,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,14,46,55,111,14,117,14,44,21,17,15,13,12,7,13,22,17,12,11,10,9,9,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,14,14,14,14,116,109,14,46,22,7,12,13,12,13,14,24,30,20,13,12,10,9,8,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,50,14,117,14,14,14,29,17,11,5,11,11,14,21,28,42,43,24,12,10,7,6,6,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,34,14,14,14,14,14,26,8,6,10,12,11,14,22,30,40,42,32,13,26,33,27,19,16,14,0,0,0,0,0,0,0,0,12,0,0,7,8,0
13,21,53,14,124,14,14,28,7,3,9,11,10,11,15,21,27,28,28,20,56,14,14,48,27,13,5,6,10,12,10,9,11,14,14,14,12,10,16,24
12,9,19,41,14,46,30,14,5,4,8,11,10,9,10,12,14,14,12,26,14,108,102,14,30,7,5,8,9,10,10,12,13,13,12,14,13,13,21,30
16,10,7,12,15,15,12,9,7,8,11,12,9,6,6,7,7,5,3,19,55,14,14,54,26,11,12,13,9,6,7,10,12,13,10,15,12,12,18,25
13,12,11,10,8,10,11,8,7,8,11,11,9,7,7,8,8,6,5,11,22,34,34,27,19,17,16,12,8,3,4,8,13,17,10,17,11,8,11,13
6,8,11,8,14,14,11,7,4,5,7,9,8,7,8,11,12,11,10,11,7,9,14,15,15,18,17,18,20,19,16,16,19,23,13,19,11,7,14,17
4,7,11,5,10,11,12,9,6,4,4,7,7,6,7,10,11,10,9,12,8,9,14,13,13,18,33,49,14,14,49,34,25,24,18,23,11,11,28,45
9,12,14,6,4,8,12,12,10,8,8,8,7,5,6,8,8,7,6,8,7,11,14,9,10,21,55,14,103,103,14,48,28,20,21,26,12,15,41,14
13,11,9,9,12,11,11,9,7,7,6,7,7,7,7,7,7,7,7,4,16,11,8,11,12,24,14,14,106,14,14,41,18,21,26,20,14,13,47,112
17,16,13,11,12,11,11,9,7,7,6,7,7,7,7,7,7,7,7,5,13,9,7,10,12,21,38,14,14,45,34,24,10,14,13,12,13,16,45,100
20,19,16,13,12,11,11,9,7,7,6,7,7,7,7,7,7,7,7,5,9,6,6,11,11,15,18,29,29,12,11,11,6,12,5,7,13,16,31,14
